utmx,utmy,X,Y,Rate_per_100000,PopulationDensity,Beer,NoHealthInsurance,Cases,Neighbor_Disadvantage
2059131.463,4537193.903,-104.907598,39.547413,4.5152454784601,162157.3161,292.06069,181.13,267,-47.603046
1898291.297,4511425.994,-106.753004,39.598209,4.94591897937656,1910.358456,70.496333,137.64,66,-8.73883
2085956.698,4527053.58,-104.634833,39.412559,4.83866002935645,417.298611,37.125949,35.36,29,-4.647994
2083855.037,4463172.527,-104.804302,38.869788,5.10715686108688,465523.6216,536.672785,981.17,988,-32.354553
2069668.643,4400730.215,-105.097919,38.359542,5.97075150551044,7264.499824,53.96328,71.3,167,-1.973736
1751340.269,4476862.263,-108.470153,39.521786,4.97189446577983,2144.426922,63.686248,178.15,71,-3.622298
1965568.389,4564086.825,-105.887689,39.941368,4.67562864963665,41.007098,10.971114,37.42,15,-1.81602
1920719.589,4407784.142,-106.715906,38.666019,4.16976120150686,1203.945372,11.59154,31.53,10,-1.81621
2096477.802,4327498.6,-104.965969,37.685869,5.27964410128242,79.627063,3.548577,18.97,12,-0.269172
2037342.004,4542476.779,-105.13683,39.631307,5.19739144795808,503526.5334,356.124832,742.86,910,-73.247155
1941927.055,4473644.344,-106.34589,39.201057,4.75789127300576,371.990889,8.429074,37.82,8,0.663246
1868768.541,4250365.738,-107.587057,37.380059,4.73707525686803,5286.95439,33.02333,82.7,56,-5.089369
2020270.582,4645553.065,-105.088199,40.545424,4.60616968632117,219441.5484,198.768095,463.86,309,-32.322719
2126253.922,4289948.42,-104.726497,37.313384,5.20620207764023,1365.789165,5.885275,29.31,23,0.238601
2177331.557,4539155.536,-103.602277,39.346648,5.42009242347396,12.297474,10.659539,16.24,11,-0.558013
2179663.054,4724682.857,-103.10449,40.91612,5.06638530920075,1089.443197,20.973967,47.48,31,-1.221921
1796852.578,4448909.949,-108.011728,39.211972,4.74580131572784,61864.73343,74.501273,279.9,151,-3.058202
1751154.949,4603021.889,-108.231356,40.621687,4.7122292582815,2867.250967,6.032797,58.43,12,-0.522092
1772901.801,4206735.217,-108.708298,37.134065,4.71760561531788,1505.565919,29.835904,65.34,25,-0.913327
1790199.694,4369906.803,-108.232616,38.533617,4.30676415017333,5721.741891,61.323286,105.34,27,-1.051232
2136762.208,4624624.189,-103.838558,40.150631,4.66908351173174,5818.037503,35.655232,73.37,25,-0.575201
2199057.944,4395587.022,-103.708703,38.085484,4.52287494326126,2795.319867,18.848,71.06,14,3.652674
1987741.907,4480719.851,-105.823293,39.186132,4.772378105,91.332396,16.670942,41.9,20,-3.357316
1872907.937,4464721.526,-107.131646,39.234001,4.96284463025991,592.94241,18.738751,42.55,23,-2.625404
2312653.043,4401603.896,-102.477956,37.921785,4.62104353514438,3107.516943,8.048081,57.13,10,0.78939
2113704.53,4395451.45,-104.631036,38.237766,5.12989871492307,139811.8761,166.266775,367.95,240,16.209764
1971800.747,4302333.885,-106.367495,37.674064,4.65586330030361,726.830579,11.466793,33.64,10,1.14597
1846910.68,4588780.674,-107.170439,40.350144,4.78915702210111,580.634391,25.814867,56.84,27,-5.472488
1970589.25,4353302.395,-106.2785,38.115999,5.23431203657212,12.39122,1.771288,26.7,11,0.670465
1822869.311,4309906.692,-107.980937,37.964225,4.23844490619586,232.604573,14.32972,34.66,5,-2.44278
1969007.034,4526177.359,-105.932549,39.609089,5.10533922956555,300.66096,16.475207,82.61,45,-3.087805
2059267.969,4469959.594,-105.058649,38.971104,4.3267781604434,1132.64253,12.454477,45.46,17,-2.5697
2050663.394,4637969.083,-104.76535,40.425321,4.48863636973214,176132.452,345.687194,609.83,235,-19.35258
2275874.984,4641124.337,-102.262485,40.01494,4.92071058656827,12.06419,11.393855,17.82,11,-0.267533
4673285.665,5946113.984,-73.231048,41.238791,5.82037962224002,1110538.853,870.729805,1734.35,2696,-18.669033
4672540.443,6018995.673,-72.793953,41.663902,6.01077685814036,933178.8799,954.328221,950.34,3105,61.667417
4637458.049,5995620.818,-73.20781,41.689792,5.00528768776966,43834.20412,277.207469,205.34,237,-18.806455
4724118.731,5999311.91,-72.520378,41.313682,5.29330482472449,52308.9277,195.320417,120.45,286,-10.723532
